bloque,operador,formacion,ventana,n_wells,n_vm,n_gas,n_oil,vintage_min,vintage_max,rama_mediana,eur_gas_total,eur_oil_total,cum_gas,cum_oil,eur_gas_km_med,eur_oil_km_med
SIERRAS BLANCAS,SHELL ARGENTINA S.A.,vaca muerta,petróleo,47,47,18,18,2013,2026,2643.0,305.0,3886.0,275.0,2879.0,3.0,39.0
CN VII A,YPF S.A.,vaca muerta,gas húmedo / condensado,1,1,1,0,2024,2024,1059.0,284.0,24.0,52.0,24.0,267.8,
LA ANGOSTURA SUR II,YPF S.A.,vaca muerta,petróleo volátil,16,15,2,4,2015,2026,2988.0,251.0,890.0,235.0,642.0,5.6,31.1
BANDURRIA CENTRO,PAN AMERICAN ENERGY SL,vaca muerta,petróleo volátil,25,24,9,12,2015,2023,2000.0,247.0,1097.0,216.0,858.0,3.9,19.1
AGUADA DEL CHAÑAR,YPF S.A.,vaca muerta,petróleo,64,64,19,23,2021,2025,2839.0,207.0,3692.0,190.0,2504.0,1.2,33.8
LOS TOLDOS I NORTE,TECPETROL S.A.,vaca muerta,petróleo volátil,5,5,2,2,2018,2024,1539.0,199.0,245.0,164.0,169.0,38.1,53.9
COIRON AMARGO SUR OESTE,SHELL ARGENTINA S.A.,vaca muerta,petróleo,39,39,16,15,2018,2025,2775.0,197.0,2997.0,183.0,2013.0,2.0,38.7
BAJO DEL TORO NORTE,YPF S.A.,vaca muerta,petróleo,22,22,8,8,2012,2025,2467.5,196.0,1246.0,160.0,817.0,4.5,25.4
AGUADA FEDERAL,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo,30,30,4,10,2013,2026,2780.0,190.0,1572.0,184.0,1218.0,5.3,29.9
MATA MORA NORTE,PHOENIX GLOBAL RESOURCES S.A.,vaca muerta,petróleo,49,49,23,20,2011,2026,2704.0,166.0,3059.0,157.0,2222.0,1.5,33.5
PARVA NEGRA ESTE,PAMPA ENERGIA S.A.,vaca muerta,gas seco,2,2,0,0,2017,2025,2502.0,164.0,0,122.0,0,,
ANGOSTURA,PRESIDENT PETROLEUM S.A.,quintuco,gas seco,5,0,0,0,2012,2019,,134.0,1.0,122.0,1.0,,
ENTRE LOMAS,TANGO ENERGY ARGENTINA S.A.,punta rosada,gas seco,6,1,0,0,2010,2024,,116.0,22.0,84.0,20.0,,
RINCON DE ARANDA,PAMPA ENERGIA S.A.,vaca muerta,petróleo,44,44,16,16,2014,2026,2501.5,114.0,1453.0,83.0,1111.0,1.9,23.2
COIRON AMARGO SUR ESTE,PAN AMERICAN ENERGY SL,vaca muerta,petróleo,34,34,3,4,2011,2026,2000.0,114.0,2887.0,109.0,2050.0,2.6,75.5
CHIHUIDO DE LA SIERRA NEGRA,YPF S.A.,vaca muerta,petróleo volátil,3,2,0,1,2013,2020,2501.0,95.0,114.0,95.0,101.0,,24.0
AGUADA VILLANUEVA,YPF S.A.,vaca muerta,gas húmedo / condensado,2,2,0,0,2025,2025,1318.0,94.0,55.0,94.0,55.0,,
LOS TOLDOS II ESTE,TECPETROL S.A.,vaca muerta,petróleo,13,13,0,0,2012,2026,1914.5,93.0,429.0,93.0,428.0,,
BAJADA DEL PALO ESTE,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo,33,33,5,12,2010,2026,2918.5,90.0,2885.0,88.0,1798.0,1.0,53.5
LOS CALDENES,YPF S.A.,lajas,gas seco,4,0,0,0,2016,2018,,83.0,10.0,68.0,10.0,,
LAS TACANAS,YPF S.A.,vaca muerta,gas seco,5,4,0,0,2013,2025,1492.5,82.0,18.0,82.0,18.0,,
LOMA NEGRA NI,OILSTONE ENERGIA S.A.,precuyo,gas seco,3,0,2,0,2013,2013,93.5,82.0,0,81.0,0.0,291.9,
MESETA BUENA ESPERANZA,YPF S.A.,vaca muerta,gas húmedo / condensado,2,2,0,0,2025,2025,1556.0,81.0,17.0,81.0,17.0,,
AGUILA MORA,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo volátil,5,5,2,2,2013,2023,2482.0,75.0,267.0,62.0,173.0,12.9,44.2
NARAMBUENA,YPF S.A.,vaca muerta,petróleo,13,13,2,2,2013,2026,2543.5,65.0,317.0,60.0,266.0,6.8,33.5
SAN ROQUE,TOTAL AUSTRAL S.A.,vaca muerta,petróleo volátil,9,8,2,1,2012,2019,1925.0,65.0,178.0,63.0,178.0,5.1,22.1
DADIN,BENTIA ENERGY S.A.,lajas,gas seco,2,0,0,0,2018,2023,,50.0,7.0,45.0,7.0,,
AGUADA CÁNEPA,PAN AMERICAN ENERGY SL,vaca muerta,petróleo,12,12,1,1,2019,2025,2002.0,48.0,1246.0,46.0,830.0,3.3,114.5
PUESTO PARADA,TECPETROL S.A.,vaca muerta,petróleo,20,19,2,4,2010,2026,3521.0,48.0,914.0,44.0,616.0,1.2,36.0
JARILLA QUEMADA,TANGO ENERGY ARGENTINA S.A.,tordillo,gas seco,1,0,0,0,2013,2013,,44.0,1.0,17.0,1.0,,
BANDURRIA NORTE,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo volátil,5,5,1,1,2015,2018,1500.0,36.0,75.0,36.0,69.0,5.0,15.1
LA RIBERA BLOQUE II,YPF S.A.,vaca muerta,gas seco,1,1,0,0,2015,2015,,34.0,2.0,24.0,2.0,,
LOMA RANQUELES,TECPETROL S.A.,vaca muerta,gas seco,2,2,0,0,2017,2019,1481.0,34.0,0,33.0,0,,
LOMA JARILLOSA ESTE,GEOPARK ARGENTINA S.A.,vaca muerta,petróleo,9,9,3,4,2012,2024,2520.0,22.0,647.0,22.0,344.0,1.6,60.7
LOMA ANCHA,TECPETROL S.A.,vaca muerta,gas seco,2,2,0,0,2018,2022,1517.0,18.0,0,18.0,0,,
CONFLUENCIA SUR,PHOENIX GLOBAL RESOURCES S.A.,vaca muerta,petróleo,3,3,2,2,2025,2025,2639.0,17.0,187.0,7.0,111.0,2.8,25.8
CONFLUENCIA NORTE,PHOENIX GLOBAL RESOURCES S.A.,vaca muerta,petróleo,4,4,1,2,2024,2025,2911.5,16.0,470.0,16.0,321.0,1.7,53.3
PUESTO ROJAS,PETROQUIMICA COMODORO RIVADAVIA S.A.,agrio,petróleo,19,8,0,0,2017,2023,,16.0,112.0,16.0,107.0,,
LAS MANADAS,BENTIA ENERGY S.A.,vaca muerta,petróleo volátil,3,3,0,1,2019,2019,1490.0,13.0,64.0,13.0,45.0,,19.7
LOMA AMARILLA SUR,YPF S.A.,vaca muerta,petróleo,5,5,1,2,2012,2023,2373.0,10.0,143.0,10.0,75.0,0.6,23.5
LOS TOLDOS II OESTE,CONTINENTAL RESOURCES ARGENTINA SAU.,vaca muerta,petróleo volátil,4,4,0,0,2013,2024,1734.0,9.0,21.0,9.0,21.0,,
AGUADA DEL CHIVATO - AGUADA BOCAREY,PATAGONIA ENERGY S.A.,vaca muerta,petróleo volátil,2,2,0,1,2012,2013,360.0,8.0,24.0,8.0,22.0,,44.3
EL TRAPIAL - CURAMCHED,CHEVRON ARGENTINA S.R.L.,vaca muerta,petróleo volátil,1,1,0,0,2013,2013,,6.0,7.0,6.0,6.0,,
LOMA DEL MOLLE,YPF S.A.,vaca muerta,gas seco,2,2,0,0,2012,2016,,6.0,0.0,6.0,0.0,,
CERRO ARENA,YPF S.A.,vaca muerta,gas seco,3,2,0,0,2013,2016,,6.0,0,6.0,0,,
BAJO DEL TORO,YPF S.A.,vaca muerta,petróleo,1,1,0,0,2025,2025,2763.0,5.0,32.0,5.0,32.0,,
FILO MORADO,YPF S.A.,agrio,petróleo,2,0,0,0,2014,2019,1504.0,5.0,31.0,5.0,31.0,,
CERRO LAS MINAS,YPF S.A.,vaca muerta,gas seco,1,1,0,0,2012,2012,,4.0,0,4.0,0,,
VEGA GRANDE,G Y G OIL SERVICE SRL,vaca muerta,petróleo volátil,1,1,0,0,2014,2014,,3.0,8.0,3.0,8.0,,
EL SANTIAGUEÑO,PETROLEOS SUDAMERICANOS S.A.,quintuco,gas seco,3,0,0,0,2014,2015,,3.0,0,2.0,0.0,,
PAMPA DE LAS YEGUAS II,TOTAL AUSTRAL S.A.,vaca muerta,petróleo volátil,1,1,0,0,2013,2013,,1.0,1.0,1.0,1.0,,
PARVA NEGRA OESTE,CAPEX S.A.,vaca muerta,gas seco,2,2,0,0,2022,2023,,1.0,0,1.0,0,,
CORRALERA NORESTE,PHOENIX GLOBAL RESOURCES S.A.,vaca muerta,gas seco,2,2,0,0,2012,2021,,1.0,0.0,1.0,0.0,,
AGUILA MORA NORESTE,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo volátil,1,1,0,0,2013,2013,,0.0,1.0,0.0,1.0,,
CERRO PARTIDO,YPF S.A.,vaca muerta,petróleo volátil,1,1,0,0,2014,2014,,0.0,0.0,0.0,0.0,,
PAYUN OESTE,TANGO ENERGY ARGENTINA S.A.,vaca muerta,petróleo,1,1,0,0,2012,2012,,0.0,3.0,0.0,3.0,,
CURAMHUELE,MADALENA ENERGY ARGENTINA SRL,agrio,petróleo,1,0,0,0,2016,2016,,0.0,1.0,0.0,1.0,,
VALLE DEL RIO GRANDE,YPF S.A.,vaca muerta,petróleo,1,1,0,0,2012,2012,,0.0,1.0,0.0,1.0,,
LOMA AMARILLA NORTE,YPF S.A.,vaca muerta,petróleo volátil,1,1,0,0,2012,2012,,0.0,0.0,0.0,0.0,,
BAJO GUANACO,ARGENTA ENERGIA S.A.,vaca muerta,petróleo volátil,1,1,0,0,2014,2014,,0.0,0.0,0.0,0.0,,
CORRALERA SUR,PHOENIX GLOBAL RESOURCES S.A.,vaca muerta,petróleo volátil,1,1,0,0,2022,2022,,0.0,0.0,0.0,0.0,,
PUESTO SILVA OESTE,GEOPARK ARGENTINA S.A.,vaca muerta,petróleo,4,4,0,0,2012,2014,,0,49.0,0.0,47.0,,
CERRO AVISPA,YPF S.A.,vaca muerta,petróleo,1,1,0,0,2014,2014,,0,1.0,0,1.0,,
TOTORAL,ENERGICON S.A.,vaca muerta,petróleo,1,1,0,0,2013,2013,,0,0.0,0,0.0,,
EL PORVENIR,OILSTONE ENERGIA S.A.,vaca muerta,petróleo,3,3,0,0,2025,2025,,0,0.0,0,0.0,,
JAGÜEL CASA DE PIEDRA,PLUSPETROL S.A.,centenario,petróleo,24,0,0,0,2010,2014,,0,0.0,0,1.0,,
CNQ 7/A,PLUSPETROL S.A.,centenario,petróleo,6,0,0,0,2011,2014,,0,0.0,0,0.0,,
Cerro Los Leones,CROWN POINT ENERGIA S.A.,chachao,petróleo,1,0,0,0,2016,2016,,0,0.0,0,0.0,,
GOBERNADOR AYALA III,PLUSPETROL S.A.,centenario,petróleo,2,0,0,0,2011,2012,,0,0,0,0.0,,
GOBERNADOR AYALA,PLUSPETROL S.A.,centenario,petróleo,2,0,0,0,2012,2012,,0,0,0,0.0,,
